"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Swagger Petstore","0","Pet","8","0","","0"
"0","TodoMVC demo","0","Todo list","7","0","","0"
